epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.2277,1.61348,1.79831,1.71142,0.38431,0.1104,0.08571,0.02725,2.71857,8.80134,2.35016,0.0924,0.0004,0.0004
2,137.772,1.71813,2.00488,1.7382,0.69116,0.20381,0.24456,0.10681,2.00394,3.52609,2.04538,0.0838444,0.00084439,0.00084439
3,259.364,1.70081,1.89433,1.72305,0.28307,0.38376,0.30783,0.1448,1.89086,2.46963,2.00328,0.0752828,0.00128284,0.00128284
4,366.403,1.75648,1.93743,1.78405,0.57239,0.36823,0.36403,0.16384,1.836,2.28248,1.94254,0.0667154,0.00171535,0.00171535
5,443.166,1.72165,1.90525,1.74925,0.41671,0.43394,0.37494,0.17609,1.96725,2.39397,2.02441,0.0581419,0.00214192,0.00214192
6,476.853,1.67322,1.8143,1.69418,0.47848,0.51346,0.47342,0.2131,1.97512,2.11167,1.98105,0.0495626,0.00256255,0.00256255
7,576.449,1.80567,1.9896,1.82257,0.48094,0.46144,0.43062,0.20031,1.89996,2.27334,1.90165,0.0409772,0.00297724,0.00297724
8,667.877,1.71324,1.92689,1.72795,0.41358,0.45786,0.39069,0.18527,2.07197,2.47292,2.13408,0.032386,0.00338599,0.00338599
9,752.325,1.70678,1.88488,1.70931,0.47115,0.36612,0.37204,0.16455,2.08688,2.84478,2.19504,0.0237888,0.0037888,0.0037888
10,836.437,1.67607,1.84272,1.73634,0.39921,0.39384,0.38908,0.16054,2.11591,2.65613,2.21486,0.0151857,0.00418567,0.00418567
11,883.793,1.66731,1.91686,1.72948,0.38435,0.37105,0.35323,0.16664,1.96072,2.34254,2.06054,0.0065766,0.0045766,0.0045766
12,910.605,1.75076,2.00095,1.79177,0.41081,0.45653,0.37054,0.15876,2.00747,2.34648,2.06431,0.004637,0.004637,0.004637
13,937.452,1.72436,1.92956,1.77012,0.39185,0.44159,0.38099,0.16828,2.00486,2.33339,2.05355,0.004604,0.004604,0.004604
14,964.201,1.7313,1.93519,1.74046,0.61479,0.37976,0.43242,0.18605,2.04969,2.44803,2.13155,0.004571,0.004571,0.004571
15,990.827,1.75289,1.94406,1.76402,0.60274,0.41951,0.39078,0.17542,2.02025,2.59371,2.13503,0.004538,0.004538,0.004538
16,1017.48,1.73991,1.88627,1.76484,0.6174,0.40651,0.41543,0.1846,2.05342,2.46976,2.2098,0.004505,0.004505,0.004505
17,1044.29,1.7071,1.92326,1.74956,0.66163,0.31322,0.37838,0.16847,2.15125,2.26542,2.28205,0.004472,0.004472,0.004472
18,1071.28,1.75685,1.94965,1.76707,0.42408,0.41776,0.4306,0.2019,2.06255,2.05625,2.10993,0.004439,0.004439,0.004439
19,1097.79,1.68962,1.88478,1.72549,0.47484,0.38253,0.41819,0.1998,1.98254,2.06142,2.05383,0.004406,0.004406,0.004406
20,1126.06,1.70572,1.86744,1.74374,0.32109,0.47388,0.39189,0.18138,1.98571,2.09065,2.0707,0.004373,0.004373,0.004373
21,1153,1.61561,1.84576,1.67393,0.87288,0.26585,0.40158,0.16853,2.02012,2.1547,2.09861,0.00434,0.00434,0.00434
