epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8441,1.91147,3.58906,1.74155,0.00168,0.16529,0.00417,0.00139,2.88282,4.20912,3.13637,0.0928,0.0008,0.0008
2,77.7864,2.11454,3.37831,2.00671,0.00134,0.1316,0.00152,0.0005,2.84992,4.3961,4.93866,0.0846832,0.00168317,0.00168317
3,117.096,2.12609,3.14748,2.04025,0.00194,0.1238,0.0027,0.00069,3.59334,4.50741,8.88273,0.0765485,0.00254852,0.00254852
4,152.774,2.15411,3.04025,2.07691,0.00156,0.07636,0.00127,0.00023,3.39505,195.682,25.9079,0.0683961,0.00339605,0.00339605
5,187.683,2.1687,3.00143,2.06278,0.00403,0.20831,0.00382,0.00109,3.37752,154.526,16.1812,0.0602258,0.00422576,0.00422576
6,223.313,2.23742,3.02127,2.139,0.00109,0.0844,0.00071,0.00023,3.31406,1036.6,20.3516,0.0520377,0.00503765,0.00503765
7,259.836,2.28945,2.94056,2.12902,0.00125,0.14492,0.00087,0.00026,3.21702,1189.85,19.9956,0.0438317,0.00583172,0.00583172
8,314.813,2.1876,2.82967,2.06874,0.00056,0.01854,0.00034,8e-05,3.31534,928.549,12.5813,0.035608,0.00660797,0.00660797
9,438.961,2.17666,2.92464,2.07893,0.00052,0.0153,0.00039,0.00013,3.30029,797.98,8.04837,0.0273664,0.0073664,0.0073664
10,563.1,2.14499,2.87264,2.06096,0.38058,0.0153,0.00275,0.00115,3.38576,386.773,7.42498,0.019107,0.00810701,0.00810701
11,682.446,2.13045,2.75977,2.06226,0.14002,0.17867,0.00818,0.00248,3.02226,119.448,4.72036,0.0108298,0.0088298,0.0088298
12,786.044,2.14096,2.72049,2.04621,0.16309,0.11641,0.02595,0.00916,3.09755,20.2059,4.30135,0.008911,0.008911,0.008911
13,898.389,2.05651,2.74341,1.98867,0.03775,0.05994,0.01939,0.00663,2.91669,11.5041,3.97407,0.008812,0.008812,0.008812
14,1013.18,2.08514,2.58639,1.99217,0.04129,0.18806,0.08447,0.0256,2.83436,8.36505,3.76051,0.008713,0.008713,0.008713
15,1110.29,2.01336,2.54121,1.97085,0.2906,0.11286,0.03537,0.01351,2.82732,5.33242,3.35287,0.008614,0.008614,0.008614
16,1230.61,2.05907,2.51797,1.97685,0.39247,0.04305,0.00971,0.00344,3.12989,7.45283,3.57261,0.008515,0.008515,0.008515
17,1345.26,2.01676,2.56278,1.98712,0.2639,0.08701,0.00817,0.00209,3.10504,15.5382,3.52967,0.008416,0.008416,0.008416
18,1415.46,2.02963,2.54864,1.9678,0.27061,0.05519,0.01754,0.00582,2.92669,14.269,3.11423,0.008317,0.008317,0.008317
19,1445.85,1.94575,2.56239,1.93455,0.2708,0.12836,0.0162,0.00498,2.89981,12.9837,3.02606,0.008218,0.008218,0.008218
20,1475.14,1.96798,2.50031,1.94254,0.41459,0.10251,0.03387,0.01131,3.1076,7.99487,3.28296,0.008119,0.008119,0.008119
21,1504.47,1.96825,2.49752,1.92834,0.20749,0.22318,0.05978,0.01731,2.73387,9.41098,2.78916,0.00802,0.00802,0.00802
22,1534.86,1.9482,2.39012,1.87979,0.06563,0.23664,0.06494,0.02023,2.6556,8.19613,2.85171,0.007921,0.007921,0.007921
23,1593.59,1.99705,2.39422,1.90955,0.44748,0.15157,0.09508,0.03786,2.54729,6.95292,2.67003,0.007822,0.007822,0.007822
24,1627.75,1.92017,2.34188,1.89952,0.45035,0.21567,0.09933,0.03785,2.44103,4.88879,2.68007,0.007723,0.007723,0.007723
25,1656.55,1.96621,2.34897,1.92755,0.22521,0.28267,0.10577,0.0328,2.41564,4.05172,2.60439,0.007624,0.007624,0.007624
26,1685.55,1.89345,2.28898,1.8637,0.36225,0.20122,0.10707,0.03611,2.39316,3.77749,2.47454,0.007525,0.007525,0.007525
27,1714.54,1.89412,2.2784,1.86317,0.33637,0.18602,0.104,0.03541,2.47887,3.90474,2.55267,0.007426,0.007426,0.007426
28,1743.02,1.92328,2.2835,1.89137,0.4055,0.23091,0.15092,0.0663,2.23898,3.28549,2.32294,0.007327,0.007327,0.007327
29,1771.64,1.91067,2.31167,1.88419,0.3477,0.26257,0.21013,0.0939,2.34715,2.9992,2.45095,0.007228,0.007228,0.007228
30,1800.36,1.89918,2.21309,1.87691,0.35034,0.27821,0.19423,0.08169,2.30969,3.2027,2.41441,0.007129,0.007129,0.007129
31,1829.19,1.89786,2.18098,1.87545,0.54742,0.25767,0.2228,0.10356,2.34471,3.25806,2.4489,0.00703,0.00703,0.00703
32,1860.33,1.82616,2.20199,1.84448,0.59986,0.22961,0.24778,0.11472,2.28023,3.25641,2.27654,0.006931,0.006931,0.006931
33,1894.62,1.81353,2.18017,1.81709,0.58383,0.23862,0.24761,0.11507,2.39676,2.90234,2.35846,0.006832,0.006832,0.006832
34,1928.91,1.88684,2.15748,1.83161,0.53618,0.20828,0.16547,0.05613,2.43942,2.76435,2.36374,0.006733,0.006733,0.006733
35,1962.77,1.80801,2.24571,1.79773,0.4693,0.23782,0.18038,0.0585,2.46102,2.79521,2.41708,0.006634,0.006634,0.006634
36,1997.13,1.86529,2.21468,1.83593,0.49103,0.2405,0.27129,0.10181,2.32721,2.57707,2.30673,0.006535,0.006535,0.006535
37,2031.05,1.75722,2.13111,1.78287,0.23359,0.27332,0.2508,0.08824,2.29654,2.83096,2.22335,0.006436,0.006436,0.006436
38,2065.31,1.78854,2.06112,1.79684,0.32919,0.27964,0.25234,0.08226,2.33362,3.10433,2.32469,0.006337,0.006337,0.006337
39,2099.74,1.83707,2.06598,1.80576,0.58054,0.1358,0.26028,0.11845,2.38409,3.30251,2.38696,0.006238,0.006238,0.006238
40,2134.23,1.83854,2.09703,1.80726,0.22322,0.30782,0.21424,0.1157,2.31799,3.27223,2.32672,0.006139,0.006139,0.006139
